_id,station,longitude,Latitude
1,גליל מערבי,32.91575,35.29302
2,כפר מסריק 2,32.88966,35.09703
,אחוזה,32.78562,34.98535
4,נ.שאנן,32.791929,35.02111
5,נשר,32.76994,35.04226
6,עצמאות חיפה,32.81644,35.00167
7,ק.אתא,32.81148,35.1123
8,ק.בנימין,32.78866,35.08511
9,שפרינצק,32.8226,34.9651
10,גבעת המורה,32.61917,35.35412
11,עין דור,32.65363,35.41288
12,עפולה,32.6033,35.29097
13,אליכין,32.40856,34.91824
14,ב.אליעזר,32.43385,34.93836
15,ברקאי,32.47548,35.02228
16,המעפיל,32.37261,34.97679
17,חדרה,32.44732,34.91173
18,חפציבה,32.45944,34.89895
19,כ.מהרל,32.64946,34.98675
20,פ.חנה,32.46637,34.96273
21,קיסריה,32.49854,34.9342
22,אריאל,32.10348,35.16779
23,אחי סמך,31.9346,34.90809
24,בית שמש,31.75016,34.99278
25,יד רמבם 2,31.903919,34.896092
26,מודיעין,31.90824,35.00921
27,רחובות,31.89912,34.81562
28,חולון,32.01779,34.76814
29,יד אבנר,32.119,34.8025
30,כביש 4,32.06999,34.841
31,עירוני ד,32.09338,34.79013
32,עמיאל,32.04701,34.79258
33,ראשון לציון,31.958015,34.801995
34,רמז,32.09135,34.82599
35,אפרתה -י''ם,31.75709,35.21741
36,בר אילן -י''ם,31.79445,35.21997
37,ספרא,31.7801,35.22393
38,ארז,31.56193,34.56336
39,אשדוד-איגוד,31.81847,34.66911
40,אשקלון דרום,31.65374,34.55075
41,גדרה,31.81355,34.77814
42,יבנה העיר,31.8764,34.739
43,יד בנימין,31.8023,34.82086
44,מבקיעים,31.62213,34.57757
45,רובע טו,31.77196,34.62715
46,באר שבע,31.25674,34.78132
47,נגב מזרחי,31.24897,35.21597
48,אילת 1,29.531533,34.941072
49,אילת 2,29.531813,34.939442
50,אילת 3,29.52961,34.938219
5,אילת 4,29.532118,34.939307
52,אילת 5,29.53111,34.938967
53,אילת 6,29.531814,34.939443
