Latitude,longitude,station,id
1,גליל מערבי,32.91575,35.29302
2,כביש 859 רגבה,32.979672,35.103786
3,כפר מסריק2 ,32.88966,35.09703
4,אחוזה,32.78562,34.98535
5,איגוד,32.789,35.03992
6,איינשטין,32.77753,34.99925
7,ד.עכו - ק.מוצקין,32.829758,35.08025
8,חוגים,32.80078,34.99066
9,יזרעאליה,32.78981,35.00926
10,כ.חסידים,32.74263,35.09444
11,כרמליה,32.79695,34.97059
12,נ.שאנן,32.791929,35.02111
13,נוה יוסף,32.70851,35.105169
14,ניידת חיפה,32.70851,35.105169
15,נשר,32.76994,35.04226
16,עצמאות חיפה,32.81644,35.00167
17,פארק הכרמל,32.73827,35.03613
18,ק.אתא,32.81148,35.1123
19,ק.ביאלק,32.83332,35.08985
20,ק.בנימין,32.78866,35.08511
21,ק.טבעון,32.7218,35.1294
22,ק.ים,32.85182,35.07873
23,ק.מוצקין,32.83642,35.07571
24,קרית חיים-רגבים,32.831263,35.054671
25,רוממה,32.78943,35.00168
26,שפרינצק,32.8226,34.9651
27,גבעת המורה,32.61917,35.35412
28,דברת,32.64408,35.35174
29,עין דור,32.65363,35.41288
30,עפולה,32.6033,35.29097
31,א.א.פחם,32.53512,35.1499
32,אום אל קוטוף,32.47417,35.05766
33,אורות רבין,32.4673132,34.884057
34,אליכין,32.40856,34.91824
35,אליקים,32.63244,35.06565
36,ב.אליעזר,32.43385,34.93836
37,ברטעה,32.47699,35.086
38,ברקאי,32.47548,35.02228
39,ג.עדה,32.51784,35.00304
40,גן שמואל,32.44111,34.96067
41,ד.א.כרמל,32.68114,35.06984
42,המעפיל,32.37261,34.97679
43,זכרון יעקב,32.57204,34.95371
44,חדרה,32.44732,34.91173
45,חפציבה,32.45944,34.89895
46,כ.מהרל,32.64946,34.98675
47,פ.חנה,32.46637,34.96273
48,מגל,32.38623,35.03309
49,מנשה,32.47079,34.9223
50,מצפה קציר,32.4908,35.1087
52,עמיקם,32.56566,35.01997
53,קיסריה,32.49854,34.9342
54,רעננה,32.1787,34.88111
55,שפיה,32.583126,34.969768
56,אריאל,32.10348,35.16779
57,אחי סמך,31.9346,34.90809
58,בית שמש,31.75016,34.99278
59,בית חשמונאי,31.8908207,34.9103123
60,בני עטרות,32.024722,34.911755
61,יד רמבם2 ,31.903919,34.896092
62,כרמי יוסף,31.8466,34.91946
63,33_לוד,31.962687,34.880982
64,מודיעין,31.90824,35.00921
65,מודיעין חח"י,31.8929,34.9954
66,צריפין_44,31.970709,34.842926
67,רחובות,31.89912,34.81562
68,אחד העם,32.0994,34.871
69,אנטוקולסקי,32.08386,34.78191
70,ביצרון,32.06645,34.79488
71,דרך פ''ת,32.06181,34.77656
72,חולון,32.01779,34.76814
73,יד אבנר,32.119,34.8025
74,יד לבנים,32.07553,34.82073
75,כביש4, 32.06999,34.841
76,מכבי אש ר''ג,32.06755,34.83215
77,תחנה מרכזית תל אביב,32.05602,34.77903
78,עירוני ד,32.09338,34.79013
79,עמיאל,32.04701,34.79258
80,ראשון לציון,31.958015,34.801995
81,רמז,32.09135,34.82599
82,רמת השרון,32.131722,34.831939
83,שיכון בבלי,32.10162,34.7955
84,שכון ל,32.10791,34.7895
85,תורן רמת השרון,32.13086,34.83267
87,אפרתה -י''ם,31.75709,35.21741
88,בר אילן -י''ם,31.79445,35.21997
89,גבעת שאול,31.790544,35.192521
90,טבע י-ם,31.802528,35.207442
91,כביש 1-ק.יערים,31.801673,35.098936
92,כביש 1-מבשרת,31.798176,35.139121
93,כביש 1 מוצא,31.796656,35.155007
94,ניידת התחנה המרכזית בירושלים,31.788745,35.202566
95,1 נווה אילן,31.805885,35.078316
96,ספרא,31.7801,35.22393
97,עטרות א.תעשיה,31.8534034,35.2152478
98,תחנה מרכזית ירושלים,31.789032,35.202641
99,אשלים,31.01532,35.35331
100,גוש עציון,31.65647,35.11681
101,לוט,31.06917,35.39764
102,נאות הכיכר,30.94553,35.3884
103,אורט,31.81461,34.64737
104,ארז,31.56193,34.56336
105,אשדוד-איגוד,31.81847,34.66911
106,אשקלון,31.6595,34.56975
107,אשקלון דרום,31.65374,34.55075
108,בני דרום,31.81942,34.69346
109,בת הדר,31.6472,34.5965
110,גדרה,31.81355,34.77814
111,גן דרום,31.80554,34.70229
112,גן יבנה,31.78286,34.7062
113,דליה,32.5895404,35.0695254
114,חבל יבנה,31.81881,34.72049
115,יבנה העיר,31.8764,34.739
116,יהלום,31.81162,34.64339
117,יד בנימין,31.8023,34.82086
118,כפר מנחם,31.72868,34.83267
119,כרמיה אשק,31.60403,34.54211
120,לוזית,31.68466,34.88179
121,מבקיעים,31.62213,34.57757
122,ניר ישראל,31.6861,34.63618
123,ניר גלים,31.82652,34.68428
124,ק.גברעם,31.58932,34.60969
125,ק.מלאכי,31.72793,34.74035
126,קריית גת,31.60633,34.7607
127,רובע ו,31.793482,34.654452
128,רובע טו,31.77196,34.62715
129,שדה יואב,31.64571,34.67402
130,שדה שדרות,31.52796,34.60161
131,אתר השמן,31.14502,34.82837
132,באר שבע,31.25674,34.78132
133,"ב""ש רמת.ח",31.22131,34.77458
134,"חח""י פוזרה",31.16334,34.82152
135,ירוחם,30.98501,34.932
136,מחנה נתן,31.2193,34.80466
137,נגב מזרחי,31.24897,35.21597
138,צ. הנגב,31.06631,34.83676
139,שגב השלום,31.19889,34.83775
140,אילת1,29.531533,34.941072
141,אילת2,29.531813,34.939442
142,אילת3,29.52961,34.938219
143,אילת4,29.532118,34.939307
144,אילת5,29.53111,34.938967
145,אילת6,29.531814,34.939443
146,ניידת קטנה,32.177124,34.935725
147,ניידת1,32.107652,34.878397
148,ניידת2,31.845779,34.685015
149,ניידת4,32.064336,34.772514
150,ניידת5,32.79232,35.052037
151,ניידת6,32.81101,34.998101
152,תחנה ניידת רכבת 1,31.987899,34.757384
153,ניידת חיפה,32.70851,35.105169
154,ניידת נתניה,32.323652,34.856207
